일자,기관,개인,외국인,기타,전체
"2026/03/25","682042101210","11863364405","1002288402019","0","1696193867634"
"2026/03/24","611728982128","15893661537","893859678004","0","1521482321669"
"2026/03/23","1602722471969","10409040242","1109853574462","0","2722985086673"
"2026/03/20","545559779624","13946645627","1069241292253","146479500","1628894197004"
"2026/03/19","732961805524","11375861614","1160532974976","0","1904870642114"
"2026/03/18","491507920261","13529891528","1094673478573","0","1599711290362"
"2026/03/17","425152335949","9032003838","857469755721","490000","1291654585508"
"2026/03/16","672612656940","9830718143","911617299598","0","1594060674681"
"2026/03/13","1033438510116","13386547263","1239300177359","0","2286125234738"
"2026/03/12","506862335549","19485938535","1081571989362","0","1607920263446"
"2026/03/11","410946443964","10680263229","1152088884281","220181210","1573935772684"
"2026/03/10","475146766860","13090513184","1069626030698","0","1557863310742"
"2026/03/09","965303277305","16044702748","1526407536233","0","2507755516286"
"2026/03/06","547723536207","16051341494","1191247939538","925000","1755023742239"
"2026/03/05","685478990500","20864008310","1657012909965","0","2363355908775"
"2026/03/04","989091271196","30184444201","2025065977712","236829860","3044578522969"
"2026/03/03","618944949810","22367215179","1816066116511","0","2457378281500"
"2026/02/27","343643133857","17562477199","1578190344741","0","1939395955797"
"2026/02/26","396459485299","14102840420","1189425566155","1167200","1599989059074"
"2026/02/25","361661235018","10678061177","1081804658559","7947700","1454151902454"
"2026/02/24","288259757838","11174996913","975090050794","0","1274524805545"
"2026/02/23","465528391223","12647807653","1091659836244","4095680","1569840130800"
"2026/02/20","428819474988","14789634084","797571486778","0","1241180595850"
"2026/02/19","385107991267","13618942592","1094358674311","9191000","1493094799170"
"2026/02/13","354561483460","13285351593","857537311933","4765000","1225388911986"
"2026/02/12","287061847779","18734571734","965281029188","0","1271077448701"
"2026/02/11","167453391733","14365222854","899842344173","16310900","1081677269660"
"2026/02/10","261393809168","10734982877","872285622106","4818600","1144419232751"
"2026/02/09","308196665644","11080772670","848619285028","392783000","1168289506342"
"2026/02/06","332197820337","14303417230","1022496785465","13727000","1369011750032"
"2026/02/05","507424518582","11916671037","922100534901","8729270","1441450453790"
"2026/02/04","300295111082","13145006328","710665816271","1146279630","1025252213311"
"2026/02/03","239534056479","16409636748","799218612621","598651180","1055760957028"
"2026/02/02","490234584218","10885547607","993118733713","7569580","1494246435118"
"2026/01/30","351780026407","11807383897","1145526121541","0","1509113531845"
"2026/01/29","444473889597","12088103411","1216839839357","0","1673401832365"
"2026/01/28","448385140613","9776135714","861352094682","0","1319513371009"
"2026/01/27","391217640915","12115387140","897910282160","754000","1301244064215"
"2026/01/26","305586609282","5045508812","825039394488","0","1135671512582"
"2026/01/23","209696820093","13747334752","874960677497","7581300","1098412413642"
"2026/01/22","368451187219","17006734556","1337709714703","0","1723167636478"
"2026/01/21","240968763510","16328504904","950379376262","0","1207676644676"
"2026/01/20","377051824617","13315391012","834133080431","0","1224500296060"
"2026/01/19","223394783929","12335036462","817741891292","0","1053471711683"
"2026/01/16","225454177401","9911182903","834094524915","0","1069459885219"
"2026/01/15","202141884755","8034333230","775450424927","2135700","985628778612"
"2026/01/14","246002920952","12726542108","875528598562","0","1134258061622"
"2026/01/13","209488637964","14587449957","677677684832","0","901753772753"
"2026/01/12","269589451309","12010608403","646701093419","0","928301153131"
"2026/01/09","232876851033","15711563710","795737894493","1431000","1044327740236"
"2026/01/08","279673425033","19136169209","806379615850","2037000","1105191247092"
"2026/01/07","243558573107","14663222358","835171688578","12084400","1093405568443"
"2026/01/06","194437024325","14009067663","983963407294","0","1192409499282"
"2026/01/05","237547107438","10591093040","675613316863","681500","923752198841"
"2026/01/02","199882275922","7348825381","476490160936","0","683721262239"
"2025/12/30","221428572064","7046962525","436860347437","0","665335882026"
"2025/12/29","406790412421","8098047798","384740963562","291500","799629715281"
"2025/12/26","149324787229","7488201706","331407629345","0","488220618280"
"2025/12/24","143261496667","7239468212","345278860117","588000","495780412996"
"2025/12/23","162056477318","7582557640","435813976661","287500","605453299119"
"2025/12/22","107415566807","6052448039","437237642386","288500","550705945732"
"2025/12/19","141309294666","11501697666","604224929172","0","757035921504"
"2025/12/18","147376041808","6189820336","487302910354","619500","640869391998"
"2025/12/17","108289004389","9112872566","495434579442","0","612836456397"
"2025/12/16","219799651768","5749701229","533260018034","0","758809371031"
"2025/12/15","141436935092","4819695333","499502579106","0","645759209531"
"2025/12/12","194381254053","7512439954","540691996786","0","742585690793"
"2025/12/11","327242425732","6490317861","788403904976","0","1122136648569"
"2025/12/10","186307401770","5575679547","496796346784","0","688679428101"
"2025/12/09","142751712079","4311983544","549833758612","0","696897454235"
"2025/12/08","156175378620","7053874950","655817537907","0","819046791477"
"2025/12/05","129324970486","11608616834","635296114784","1792000","776231494104"
"2025/12/04","146540858895","11229894001","575251845707","131083750","733153682353"
"2025/12/03","132579304996","9788979821","515650187605","0","658018472422"
"2025/12/02","114933241778","8240662722","589955694707","1252000","713130851207"
"2025/12/01","178294951102","9377386354","483836834761","0","671509172217"
"2025/11/28","118988771081","5583289134","654681965224","0","779254025439"
"2025/11/27","156211842174","10238982585","589513554411","0","755964379170"
"2025/11/26","139674478119","11798820767","804029872137","0","955503171023"
"2025/11/25","297222522911","10022661541","634012891716","0","941258076168"
"2025/11/24","259978349995","15191929258","823541203561","0","1098711482814"
"2025/11/21","142153044758","11348864907","614558204826","0","768060114491"
"2025/11/20","103886053747","11693607477","560333661609","0","675913322833"
"2025/11/19","172307945420","13280310174","624588199366","0","810176454960"
"2025/11/18","356272578805","8111803008","730655082970","0","1095039464783"
"2025/11/17","350994727948","10264688631","593674233029","0","954933649608"
"2025/11/14","514775033915","8233839496","726066509026","0","1249075382437"
"2025/11/13","356962556693","13207973950","677840572428","0","1048011103071"
"2025/11/12","251364436576","7498544816","637152682041","0","896015663433"
"2025/11/11","407905115023","13095000042","791678441161","0","1212678556226"
"2025/11/10","237782110165","8158330456","542743332325","0","788683772946"
"2025/11/07","370140566346","13266328225","657456300043","0","1040863194614"
"2025/11/06","464591316814","11947825982","714854662821","0","1191393805617"
"2025/11/05","544728143069","15590388381","1018670794191","0","1578989325641"
"2025/11/04","531410692030","8183771703","672671813892","0","1212266277625"
"2025/11/03","474123281772","10998773750","787189133303","0","1272311188825"
"2025/10/31","266315378499","11137192282","685926598002","4041200","963383209983"
"2025/10/30","589196930360","13222609304","759133750767","587822750","1362141113181"
"2025/10/29","399699151212","13464050687","855285334208","109123000","1268557659107"
"2025/10/28","530962336451","11165582274","822350099500","473265900","1364951284125"
